Verkaufspreis,Verkaufsmonat,Wohnraum_qm,Keller_qm,Grundstueck_qm,Qualität_Baustoffe,Zustand_Immobilie,Baujahr,Heizungsart,Zentrale_Klimaanlage,Kamine
113000,6,442.6829268292683,224.39024390243904,1358.536585365854,4,5,1920,GasA,Y,0
127000,1,291.1585365853659,291.1585365853659,2360.3658536585367,5,7,1966,GasA,Y,0
177000,7,448.1707317073171,242.0731707317073,4228.3536585365855,6,6,1997,GasA,Y,0
114500,9,248.78048780487805,248.78048780487805,1902.439024390244,6,6,1934,GasA,Y,1
110000,5,248.78048780487805,248.78048780487805,2582.9268292682927,5,5,1963,GasA,N,0
385000,11,561.5853658536586,561.5853658536586,15326.524390243903,9,5,1981,GasA,Y,1
130000,2,414.63414634146346,117.07317073170732,2175.0,5,5,1955,GasA,Y,1
180500,7,434.4512195121952,434.4512195121952,3102.134146341464,6,5,1964,GasA,Y,1
172500,8,530.1829268292684,295.7317073170732,806.4024390243903,8,5,1999,GasA,Y,0
196500,8,524.390243902439,262.1951219512195,3550.3048780487807,7,5,2004,GasA,Y,0
438780,10,897.8658536585366,429.8780487804878,4171.341463414635,10,5,2006,GasA,Y,1
124900,1,237.8048780487805,237.8048780487805,2195.1219512195125,5,7,1972,GasA,Y,0
158000,5,353.0487804878049,353.0487804878049,3985.3658536585367,6,5,2004,GasA,Y,0
101000,3,338.719512195122,161.58536585365854,2195.1219512195125,5,7,1920,GasA,N,0
202500,10,417.6829268292683,417.6829268292683,1964.0243902439024,8,5,2006,GasA,Y,1
140000,4,521.3414634146342,175.609756097561,3140.2439024390246,7,6,1921,GasA,Y,0
219500,2,620.1219512195122,322.2560975609756,2858.2317073170734,7,5,1997,GasA,Y,0
317000,10,753.9634146341464,348.4756097560976,2924.085365853659,8,5,2004,GasA,Y,1
180000,7,672.8658536585366,593.5975609756098,6067.073170731707,7,5,1970,GasA,Y,1
226000,6,450.9146341463415,442.9878048780488,3251.5243902439024,7,5,2003,GasA,Y,0
80000,6,227.7439024390244,227.7439024390244,1404.878048780488,4,6,1945,GasA,Y,0
225000,7,697.2560975609756,397.5609756097561,4753.963414634147,7,4,1953,GasW,Y,1
244000,2,677.7439024390244,677.7439024390244,4161.89024390244,7,6,1973,GasA,Y,2
129500,6,257.6219512195122,257.6219512195122,2316.768292682927,4,6,1982,GasA,Y,0
185000,12,523.7804878048781,253.65853658536588,3091.768292682927,7,5,1998,GasA,Y,1
144900,5,331.0975609756098,331.0975609756098,3109.756097560976,5,7,1954,GasA,Y,0
107400,5,489.32926829268297,256.0975609756098,1765.2439024390244,3,6,1915,GasA,N,0
91000,11,301.219512195122,140.8536585365854,486.5853658536586,4,5,1973,GasA,Y,0
135750,4,290.2439024390244,290.2439024390244,2583.8414634146343,4,7,1956,GasA,Y,0
127000,1,391.76829268292687,204.87804878048783,2632.6219512195125,5,5,1948,GasA,Y,0
136500,4,539.0243902439024,539.0243902439024,3285.9756097560976,4,5,1968,GasA,N,0
110000,5,375.0,134.14634146341464,3182.9268292682927,5,6,1910,GasA,Y,0
193500,6,653.048780487805,273.1707317073171,3963.4146341463415,6,6,1968,GasA,Y,1
153500,3,407.6219512195122,377.13414634146346,1371.9512195121952,6,5,1998,GasA,Y,0
245000,10,476.5243902439025,476.5243902439025,3111.585365853659,8,5,2007,GasA,Y,1
126500,7,324.6951219512195,324.6951219512195,2710.9756097560976,5,5,1960,GasA,Y,0
168500,5,449.3902439024391,117.07317073170732,2600.6097560975613,7,5,1995,GasA,Y,1
260000,4,736.8902439024391,392.6829268292683,4896.036585365854,8,5,1991,GasA,Y,1
174000,3,475.609756097561,208.53658536585368,3631.4024390243903,6,5,2005,GasA,Y,1
164500,6,373.1707317073171,186.5853658536585,1204.5731707317077,6,5,2009,GasA,Y,0
85000,10,308.8414634146342,308.8414634146342,2582.317073170732,3,2,1915,GasA,N,0
123600,8,301.82926829268297,301.82926829268297,2460.3658536585367,4,5,1994,GasA,Y,0
109900,7,317.07317073170736,0.0,2195.1219512195125,4,5,1950,GasA,Y,0
98600,12,376.5243902439025,376.5243902439025,2591.4634146341464,5,3,1961,GasA,Y,0
163500,8,293.9024390243903,267.0731707317073,4073.170731707317,5,7,1921,GasA,Y,0
133900,11,698.4756097560976,370.1219512195122,2195.1219512195125,6,6,1910,GasW,N,1
204750,5,544.5121951219512,251.219512195122,2846.646341463415,6,5,1997,GasA,Y,0
185000,4,448.1707317073171,207.31707317073173,2977.134146341464,6,8,1993,GasA,Y,1
214000,8,484.1463414634147,484.1463414634147,3129.268292682927,7,5,1999,GasA,Y,0
94750,5,292.6829268292683,292.6829268292683,3329.573170731708,4,5,1965,GasA,Y,0
83000,5,254.5731707317073,139.63414634146343,3239.329268292683,5,5,1920,GasA,N,0
128950,1,373.4756097560976,289.6341463414634,2841.4634146341464,4,5,1959,GasA,Y,0
205000,2,490.8536585365854,490.8536585365854,3232.6219512195125,6,7,1977,GasA,Y,2
178000,6,528.048780487805,225.91463414634148,2806.707317073171,6,5,1985,GasA,Y,1
118964,6,467.9878048780488,0.0,2139.634146341464,5,5,1979,GasA,Y,0
198900,5,373.7804878048781,373.7804878048781,3171.3414634146343,7,5,2009,GasA,Y,0
169500,6,554.2682926829268,317.07317073170736,2365.2439024390246,7,4,1931,GasA,Y,2
250000,8,607.3170731707318,321.0365853658537,2858.2317073170734,8,5,2003,GasA,Y,1
100000,8,319.2073170731708,195.4268292682927,3292.6829268292686,4,7,1885,GasA,Y,0
115000,4,240.5487804878049,240.5487804878049,1829.268292682927,5,5,1948,GasA,Y,0
115000,8,462.5,241.76829268292684,2591.4634146341464,5,7,1919,GasW,N,0
190000,1,562.1951219512196,562.1951219512196,3582.6219512195125,6,6,1977,GasA,Y,1
136900,10,565.548780487805,303.0487804878049,2903.9634146341464,6,4,1954,GasA,Y,0
180000,4,435.9756097560976,117.07317073170732,2362.8048780487807,7,5,2000,GasA,Y,1
383970,10,821.9512195121952,385.3658536585366,3038.1097560975613,7,5,2007,GasA,Y,1
217000,10,688.719512195122,551.5243902439024,6402.439024390244,6,5,1953,GasA,Y,2
259500,7,707.3170731707318,313.4146341463415,2213.1097560975613,6,8,1945,GasA,Y,1
176000,6,444.51219512195127,222.25609756097563,984.7560975609756,6,5,1999,GasA,Y,1
139000,9,332.9268292682927,332.9268292682927,3541.4634146341464,5,5,1962,GasA,Y,1
155000,4,342.9878048780488,342.9878048780488,2602.439024390244,5,5,2006,GasA,Y,0
320000,5,982.3170731707318,510.06097560975616,3773.170731707317,7,5,1990,GasA,Y,2
163990,7,443.9024390243903,221.9512195121952,2579.573170731708,6,5,2005,GasA,Y,1
180000,10,301.219512195122,285.9756097560976,6540.548780487805,6,5,1969,GasA,Y,2
100000,6,342.3780487804878,223.1707317073171,1847.5609756097565,4,5,1939,GasA,Y,0
136000,6,329.26829268292687,329.26829268292687,2885.3658536585367,6,7,1958,GasA,Y,0
153900,3,365.5487804878049,365.5487804878049,2406.09756097561,6,5,1993,GasA,Y,0
181000,1,483.5365853658537,415.2439024390244,5196.036585365854,6,5,1979,GasA,Y,1
84500,6,158.53658536585368,158.53658536585368,2067.073170731708,6,8,1935,GasA,N,0
128000,2,292.0731707317073,328.6585365853659,1502.439024390244,6,5,1976,GasA,Y,1
87000,6,256.0975609756098,204.87804878048783,1337.804878048781,5,7,1930,GasA,Y,1
155000,7,410.9756097560976,201.21951219512195,2314.0243902439024,6,5,1966,GasA,Y,1
150000,7,321.0365853658537,307.3170731707317,2735.6707317073174,5,7,1958,GasA,Y,0
226000,5,657.6219512195122,281.7073170731708,4329.268292682928,7,6,1966,GasA,Y,2
244000,7,626.219512195122,302.4390243902439,3726.829268292683,6,5,2000,GasA,Y,1
150750,7,404.57317073170736,324.0853658536586,2252.439024390244,5,6,1959,GasA,Y,0
220000,6,395.1219512195122,386.2804878048781,2089.329268292683,8,5,2001,GasA,Y,0
180000,7,524.6951219512196,445.4268292682927,3150.914634146341,5,6,1968,GasA,Y,1
174000,5,512.8048780487806,397.5609756097561,3170.7317073170734,7,6,1970,GasA,Y,1
143000,7,370.1219512195122,370.1219512195122,3157.012195121951,5,5,1967,GasA,Y,1
171000,7,597.2560975609756,581.4024390243903,3375.0,7,5,1988,GasA,Y,0
230000,12,564.6341463414634,306.0975609756098,2764.0243902439024,8,5,1999,GasA,Y,2
231500,8,537.8048780487806,282.9268292682927,4703.048780487805,6,5,1997,GasA,Y,0
115000,4,263.4146341463415,263.4146341463415,3201.219512195122,4,5,1971,GasA,Y,1
260000,1,528.6585365853659,528.6585365853659,3550.3048780487807,7,5,2005,GasA,Y,0
166000,6,422.25609756097566,277.4390243902439,2597.560975609756,5,4,1952,GasA,Y,0
204000,6,457.6219512195122,454.26829268292687,3150.914634146341,7,5,1999,GasA,Y,0
125000,11,526.829268292683,526.829268292683,2774.390243902439,5,5,1963,GasA,Y,0
130000,4,521.0365853658537,295.7317073170732,768.9024390243903,6,5,2004,GasA,Y,0
105000,11,266.76829268292687,217.9878048780488,1865.8536585365853,5,7,1931,GasA,Y,0
222500,5,620.4268292682927,269.5121951219512,2897.8658536585367,7,5,2001,GasA,Y,1
141000,4,329.26829268292687,329.26829268292687,2286.5853658536585,7,5,2004,GasA,Y,0
115000,4,409.75609756097566,273.1707317073171,1902.439024390244,5,4,1936,GasA,Y,0
122000,1,295.4268292682927,295.4268292682927,3157.317073170732,5,6,1975,GasA,Y,0
372402,1,521.3414634146342,521.3414634146342,4235.0609756097565,8,5,2007,GasA,Y,1
190000,6,607.6219512195122,251.52439024390245,4513.109756097561,6,5,1971,GasA,Y,1
235000,3,381.7073170731708,488.4146341463415,4115.8536585365855,6,7,1960,GasA,Y,1
125000,3,365.8536585365854,365.8536585365854,3457.317073170732,6,5,1923,GasA,Y,0
79000,4,334.1463414634147,174.39024390243904,2926.829268292683,6,5,1924,Grav,N,0
109500,6,317.07317073170736,0.0,2195.1219512195125,5,7,1950,GasA,Y,0
269500,5,600.0,235.9756097560976,3659.451219512195,8,5,2009,GasA,Y,1
254900,5,593.5975609756098,302.1341463414634,3826.829268292683,7,5,2004,GasA,Y,1
320000,3,750.609756097561,424.3902439024391,5907.926829268293,7,5,2005,GasA,Y,1
162500,6,375.609756097561,375.609756097561,3390.2439024390246,6,6,1984,GasA,Y,0
412500,3,813.4146341463415,479.26829268292687,4173.170731707317,9,5,2003,GasA,Y,2
220000,5,469.81707317073176,469.81707317073176,3714.024390243903,7,5,2005,GasA,Y,1
103200,4,268.9024390243903,268.9024390243903,1676.829268292683,4,6,1956,GasA,Y,0
152000,10,492.6829268292683,350.3048780487805,1646.3414634146343,6,7,1926,GasA,Y,0
127500,9,413.109756097561,196.3414634146341,3081.09756097561,5,7,1940,GasA,Y,0
190000,11,569.2073170731708,492.9878048780488,3264.634146341464,5,5,1955,GasA,Y,3
325624,11,658.8414634146342,482.31707317073176,3220.1219512195125,8,5,2007,GasA,Y,1
183500,5,524.390243902439,256.0975609756098,2513.414634146341,7,5,2004,GasA,Y,1
228000,1,520.4268292682927,514.0243902439024,5082.012195121952,8,6,1981,GasA,Y,1
128500,5,260.3658536585366,219.51219512195124,3767.6829268292686,5,6,1941,GasA,Y,0
215000,5,504.8780487804879,329.26829268292687,9685.975609756098,6,5,1960,GasA,Y,2
239000,6,538.719512195122,324.39024390243907,1617.6829268292684,7,7,1987,GasA,Y,1
163000,6,415.2439024390244,415.2439024390244,3108.8414634146343,6,5,1961,GasA,Y,1
184000,11,503.3536585365854,489.63414634146346,3785.3658536585367,6,5,1986,GasA,Y,1
243000,6,657.9268292682927,366.4634146341464,3846.036585365854,6,7,1950,GasA,Y,1
211000,9,628.048780487805,350.9146341463415,3057.6219512195125,6,5,1988,GasA,Y,1
172500,7,585.3658536585366,320.7317073170732,4161.585365853659,5,5,1958,GasA,Y,1
501837,7,681.0975609756098,675.609756097561,5311.89024390244,9,5,2008,GasA,Y,1
100000,7,295.1219512195122,295.1219512195122,2597.560975609756,5,6,1923,GasA,Y,0
177000,6,464.939024390244,230.4878048780488,645.4268292682927,6,5,2000,GasA,Y,1
200100,7,549.390243902439,241.76829268292684,2313.414634146341,7,6,1920,GasA,Y,1
120000,6,408.5365853658537,0.0,2762.19512195122,5,6,1957,GasA,Y,1
200000,6,634.7560975609756,415.2439024390244,3483.536585365854,7,5,2003,GasA,Y,0
127000,6,381.7073170731708,153.65853658536585,2267.6829268292686,5,8,1908,GasA,Y,0
475000,6,925.609756097561,337.5,6996.951219512195,10,9,1892,GasA,Y,2
173000,6,371.0365853658537,362.1951219512196,3032.6219512195125,7,5,1990,GasA,Y,0
135000,8,460.9756097560976,201.21951219512195,3173.7804878048782,5,7,1916,GasA,Y,0
153337,6,373.1707317073171,331.0975609756098,2139.634146341464,5,5,1979,GasA,Y,2
286000,8,485.6707317073171,485.6707317073171,1500.9146341463415,8,5,2001,GasA,Y,1
315000,12,831.4024390243903,260.0609756097561,3222.5609756097565,8,8,1932,GasA,Y,2
184000,6,450.9146341463415,221.03658536585368,2278.048780487805,7,9,1972,GasA,Y,0
192000,9,436.2804878048781,436.2804878048781,2749.085365853659,7,5,1999,GasA,Y,0
130000,5,521.0365853658537,295.7317073170732,768.9024390243903,7,5,2004,GasA,Y,0
127000,5,263.4146341463415,263.4146341463415,2189.0243902439024,5,7,1972,GasA,Y,0
148500,7,443.9024390243903,260.6707317073171,695.1219512195122,6,6,1976,GasA,Y,1
311872,9,526.219512195122,526.219512195122,2870.7317073170734,7,5,2007,GasA,Y,1
235000,3,829.2682926829269,414.63414634146346,7749.69512195122,8,4,1918,GasA,Y,1
104000,7,566.4634146341464,230.1829268292683,1682.9268292682927,6,6,1912,GasA,Y,0
274900,1,522.2560975609756,522.2560975609756,2924.085365853659,8,5,2004,GasA,Y,1
140000,3,341.76829268292687,341.76829268292687,2605.487804878049,4,5,2003,GasA,Y,0
171500,2,389.9390243902439,364.63414634146346,3086.890243902439,6,6,1977,GasA,Y,2
112000,5,399.3902439024391,188.109756097561,2134.146341463415,6,6,1924,GasA,Y,0
149000,1,258.5365853658537,258.5365853658537,1353.048780487805,6,5,2004,GasA,Y,1
110000,4,391.4634146341464,219.51219512195124,1067.0731707317077,5,7,1947,GasA,Y,0
180500,5,439.63414634146346,434.1463414634147,3613.109756097561,7,5,1990,GasA,Y,0
143900,3,517.0731707317074,347.5609756097561,4168.59756097561,5,5,1962,GasA,Y,1
141000,4,335.3658536585366,335.3658536585366,3808.8414634146334,4,5,1960,GasA,Y,1
277000,4,628.6585365853659,352.7439024390244,4379.268292682928,7,5,1988,GasA,Y,1
145000,7,332.9268292682927,332.9268292682927,2515.2439024390246,6,7,1964,GasA,Y,0
98000,4,263.4146341463415,263.4146341463415,1708.536585365854,5,6,1925,GasA,N,0
186000,3,369.51219512195127,369.51219512195127,3176.829268292683,6,5,2009,GasA,Y,0
252678,7,564.6341463414634,274.39024390243907,2634.146341463415,7,5,2009,GasA,Y,1
156000,7,301.82926829268297,301.82926829268297,4136.585365853659,5,5,1995,GasA,Y,0
161750,3,424.3902439024391,210.0609756097561,3323.1707317073174,6,7,1977,GasA,Y,0
134450,5,376.82926829268297,326.219512195122,3052.134146341464,5,6,1957,GasA,Y,1
210000,4,437.8048780487805,437.8048780487805,2576.219512195122,7,5,2004,GasA,Y,0
107000,9,404.8780487804878,209.14634146341464,3020.1219512195125,4,4,1925,GasA,N,0
311500,5,595.7317073170732,243.2926829268293,4774.39024390244,7,9,1939,GasA,Y,2
167240,3,380.4878048780488,380.4878048780488,917.6829268292684,7,5,2005,GasA,Y,0
204900,4,456.7073170731708,456.7073170731708,2740.853658536585,7,5,2006,GasA,Y,0
200000,12,691.1585365853659,307.9268292682927,2459.756097560976,6,5,2002,GasA,Y,1
179900,2,473.1707317073171,217.37804878048783,3498.4756097560976,6,6,1975,GasA,Y,1
97000,3,263.4146341463415,263.4146341463415,3201.219512195122,4,6,1971,GasA,Y,0
386250,6,729.2682926829269,729.2682926829269,4107.317073170732,10,5,2003,GasA,Y,1
112000,5,396.9512195121952,192.0731707317073,512.1951219512196,5,5,1971,GasA,Y,0
290000,6,768.2926829268293,366.76829268292687,3033.5365853658536,7,5,1995,GasA,Y,1
106000,9,300.9146341463415,147.25609756097563,569.8170731707318,6,6,1970,GasA,Y,0
125000,5,278.0487804878049,278.0487804878049,2597.8658536585367,5,5,1967,GasA,Y,1
192500,5,474.0853658536586,418.5975609756098,970.1219512195122,7,5,2005,GasA,Y,1
148000,4,364.0243902439025,364.0243902439025,2670.7317073170734,6,6,1959,GasA,Y,0
403000,7,851.829268292683,445.7317073170732,4615.243902439025,8,5,1995,GasA,Y,1
94500,6,300.9146341463415,147.25609756097563,512.1951219512196,6,5,1972,GasA,Y,1
128200,2,272.5609756097561,272.5609756097561,3246.951219512195,5,6,1976,GasA,Y,0
216500,5,597.5609756097562,262.1951219512195,2393.59756097561,6,5,2002,GasA,Y,2
89500,8,300.9146341463415,147.25609756097563,512.1951219512196,6,3,1971,GasA,Y,0
185500,5,431.0975609756098,431.0975609756098,2674.69512195122,7,5,2004,GasA,Y,0
194500,2,531.7073170731708,303.6585365853659,2882.012195121951,7,7,1993,GasA,Y,0
318000,12,516.4634146341464,516.4634146341464,3667.6829268292686,8,5,2007,GasA,Y,0
113000,4,453.3536585365854,224.0853658536585,2664.939024390244,6,4,1945,GasA,Y,1
262500,4,477.439024390244,477.439024390244,2743.9024390243903,8,5,2008,GasA,Y,0
110500,8,264.0243902439025,209.14634146341464,1182.9268292682927,5,9,1945,GasA,Y,0
79000,4,439.0243902439025,164.63414634146343,1524.3902439024391,5,4,1900,GasA,N,0
120000,4,371.0365853658537,190.85365853658536,3281.09756097561,6,6,1980,GasA,Y,1
205000,5,643.2926829268293,289.0243902439025,2707.317073170732,7,5,1994,GasA,Y,2
241500,6,570.7317073170732,562.5,3170.7317073170734,7,5,1988,GasA,Y,1
137000,4,587.8048780487806,310.9756097560976,2787.19512195122,6,8,1910,GasA,N,0
140000,6,419.2073170731708,416.76829268292687,3448.1707317073174,6,5,1954,GasA,Y,1
180000,9,508.5365853658537,256.0975609756098,3450.3048780487807,7,5,2003,GasA,Y,0
277000,6,653.6585365853659,440.2439024390244,48475.60975609756,6,7,1958,GasA,Y,2
76500,5,398.1707317073171,221.9512195121952,1631.09756097561,3,2,1940,GasA,Y,0
235000,12,495.4268292682927,479.57317073170736,1448.1707317073171,8,5,2006,GasA,Y,1
173000,12,500.00000000000006,243.2926829268293,2550.6097560975613,6,5,2004,GasA,Y,0
158000,10,396.9512195121952,396.9512195121952,2850.6097560975613,6,7,1964,GasA,Y,0
145000,6,400.609756097561,400.609756097561,2560.9756097560976,5,6,1957,GasA,Y,0
230000,2,698.4756097560976,297.2560975609756,2664.0243902439024,7,5,1999,GasA,Y,1
207500,5,526.829268292683,263.4146341463415,2680.1829268292686,6,5,2003,GasA,Y,0
220000,3,489.0243902439025,489.0243902439025,2687.19512195122,7,5,2006,GasA,Y,1
231500,5,546.3414634146342,293.5975609756098,3791.158536585366,7,5,2001,GasA,Y,1
97000,12,268.9024390243903,0.0,3872.560975609757,5,5,1956,GasA,Y,0
176000,5,421.3414634146342,415.2439024390244,5882.926829268293,6,5,1962,GasA,Y,1
276000,11,784.7560975609756,451.82926829268297,2923.1707317073174,8,5,2007,GasA,Y,1
151000,7,369.51219512195127,154.26829268292684,2582.6219512195125,6,7,1977,GasA,Y,1
130000,4,282.3170731707317,282.3170731707317,1676.829268292683,5,7,1929,GasA,Y,0
73000,6,232.9268292682927,207.31707317073173,1595.1219512195123,5,5,1925,GasA,N,0
175500,6,433.5365853658537,433.5365853658537,3685.9756097560976,6,6,1981,GasA,Y,1
185000,6,460.6707317073171,244.51219512195124,3416.768292682927,6,5,1997,GasA,Y,1
179500,7,540.2439024390244,219.51219512195124,2560.9756097560976,5,8,1939,GasA,Y,1
120500,2,237.1951219512196,225.609756097561,2103.658536585366,5,6,1940,GasA,Y,1
148000,5,339.32926829268297,348.4756097560976,2413.719512195122,6,7,1976,GasA,Y,1
266000,8,591.1585365853659,333.8414634146342,3270.7317073170734,8,5,2006,GasA,Y,1
241500,4,415.5487804878049,422.25609756097566,11921.951219512195,7,7,1954,GasA,Y,2
290000,4,692.0731707317074,351.219512195122,3586.585365853659,8,7,1999,GasA,Y,1
139000,4,497.5609756097561,378.0487804878049,2926.829268292683,6,6,1958,GasA,Y,1
124500,6,248.78048780487805,248.78048780487805,2534.756097560976,5,7,1982,GasA,Y,0
205000,10,471.9512195121952,290.2439024390244,2214.634146341464,7,7,1925,GasW,N,0
201000,4,475.609756097561,475.609756097561,2803.658536585366,7,5,2003,GasA,Y,0
141000,6,263.4146341463415,263.4146341463415,5834.756097560976,4,5,1951,GasA,Y,0
415298,5,646.6463414634147,646.6463414634147,4405.487804878049,9,5,2006,GasA,Y,1
192000,3,616.4634146341464,353.6585365853659,3050.3048780487807,7,5,1977,GasA,Y,1
228500,1,604.2682926829268,246.03658536585368,3441.158536585366,7,6,1989,GasA,Y,1
185000,5,384.75609756097566,384.75609756097566,2195.1219512195125,6,5,2006,GasA,Y,0
207500,4,400.609756097561,400.609756097561,1543.59756097561,7,5,2007,GasA,Y,1
244600,12,447.5609756097561,447.5609756097561,2930.487804878049,8,5,2008,GasA,Y,1
179200,7,480.1829268292683,480.1829268292683,2442.6829268292686,6,5,1992,GasA,Y,0
164700,6,381.0975609756098,190.5487804878049,1296.0365853658536,7,5,2006,GasA,Y,0
159000,6,528.6585365853659,278.0487804878049,2983.5365853658536,6,7,1962,GasA,Y,1
88000,6,261.5853658536586,261.5853658536586,2477.134146341464,4,4,1971,GasA,Y,0
122000,2,274.39024390243907,268.9024390243903,2993.59756097561,5,5,1967,GasA,Y,0
153575,7,425.609756097561,212.8048780487805,2661.585365853659,6,7,1915,GasA,Y,0
233230,7,585.0609756097562,328.9634146341464,4759.451219512195,8,5,2006,GasA,Y,1
135900,3,523.1707317073171,237.8048780487805,1733.8414634146343,5,6,1912,GasA,N,0
131000,1,523.1707317073171,234.14634146341464,3478.353658536585,5,4,1949,GasA,Y,1
235000,3,689.939024390244,242.37804878048783,5078.963414634147,7,7,1977,GasA,Y,1
167000,10,501.219512195122,431.7073170731708,2926.829268292683,6,5,1953,GasA,Y,2
142500,3,305.7926829268293,305.7926829268293,2419.817073170732,6,6,1984,GasA,Y,0
152000,6,475.0,277.4390243902439,4179.878048780488,5,5,1950,GasA,Y,0
239000,6,594.5121951219512,297.2560975609756,2255.792682926829,7,5,1997,GasA,Y,1
175000,6,531.4024390243902,214.02439024390245,3567.073170731708,6,6,1968,GasA,Y,1
158500,8,351.219512195122,332.9268292682927,4268.29268292683,6,8,1950,GasA,Y,1
157000,6,407.31707317073176,355.1829268292683,4801.829268292683,5,5,1953,GasA,Y,2
267000,5,747.5609756097562,313.4146341463415,4946.951219512195,8,5,1998,GasA,Y,1
205000,1,469.81707317073176,469.81707317073176,4178.048780487805,7,5,2001,GasA,Y,1
149900,7,272.5609756097561,272.5609756097561,2987.8048780487807,5,7,1972,GasA,Y,0
295000,5,1064.939024390244,448.1707317073171,5605.487804878049,7,9,1880,GasA,Y,1
305900,7,609.7560975609756,609.7560975609756,3166.4634146341464,8,5,2004,GasA,Y,0
